local_file,extracted_name,wikipedia_title,date,original_caption,image_url,file_page,download_status
images/Ethel_Reed__ca._1895__by_Frances_Benjamin_Johnston.jpg,Ethel Reed,Ethel Reed,c. 1895,Ethel Reed (ca. 1895),https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Ethel_Reed_%28ca._1895%29_by_Frances_Benjamin_Johnston.jpg/800px-Ethel_Reed_%28ca._1895%29_by_Frances_Benjamin_Johnston.jpg,https://commons.wikimedia.org/wiki/File:Ethel_Reed_(ca._1895)_by_Frances_Benjamin_Johnston.jpg,ok
images/Aletta_Jacobs__1895-1905.jpg,Aletta Jacobs,Aletta Jacobs,between 1895 and 1905,"Dr. Aletta Jacobs, Dutch suffragette, first female Dutch university graduate and first Dutch female physician",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Aletta_Jacobs%2C_1895-1905.jpg/800px-Aletta_Jacobs%2C_1895-1905.jpg,"https://commons.wikimedia.org/wiki/File:Aletta_Jacobs,_1895-1905.jpg",ok
images/Frances_Benjamin_Johnston__Self-Portrait__as__New_Woman__1896.jpg,Frances Benjamin Johnston,Frances Benjamin Johnston,1896,Frances Benjamin Johnston,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Frances_Benjamin_Johnston%2C_Self-Portrait_%28as_%22New_Woman%22%29%2C_1896.jpg/800px-Frances_Benjamin_Johnston%2C_Self-Portrait_%28as_%22New_Woman%22%29%2C_1896.jpg,"https://commons.wikimedia.org/wiki/File:Frances_Benjamin_Johnston,_Self-Portrait_(as_%22New_Woman%22),_1896.jpg",ok
images/Mrs._Fiske___Love_finds_the_way__-_Zaida_Ben_Yusuf._LCC_dc026083.jpg,Fiske,Fiske,1896,"Mrs. Fiske, ""Love finds the way"" - Zaida Ben Yusuf. LCCN2006677585 - Restoration, levels tweaked",https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Mrs._Fiske%2C_%22Love_finds_the_way%22_-_Zaida_Ben_Yusuf._LCCN2006677585_-_Restoration%2C_levels_tweaked.jpg/800px-Mrs._Fiske%2C_%22Love_finds_the_way%22_-_Zaida_Ben_Yusuf._LCCN2006677585_-_Restoration%2C_levels_tweaked.jpg,"https://commons.wikimedia.org/wiki/File:Mrs._Fiske,_%22Love_finds_the_way%22_-_Zaida_Ben_Yusuf._LCCN2006677585_-_Restoration,_levels_tweaked.jpg",ok
images/Leo_Tolstoy_1897__black_and_white__37767u.jpg,Leo Tolstoy,Leo Tolstoy,1897,Leo Tolstoy,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Leo_Tolstoy_1897%2C_black_and_white%2C_37767u.jpg/800px-Leo_Tolstoy_1897%2C_black_and_white%2C_37767u.jpg,"https://commons.wikimedia.org/wiki/File:Leo_Tolstoy_1897,_black_and_white,_37767u.jpg",ok
images/Elsie_Leslie__1899__by_Zaida_Ben-Yusuf.jpg,Elsie Leslie,Elsie Leslie,1899,Elsie Leslie (1899),https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Elsie_Leslie_%281899%29_by_Zaida_Ben-Yusuf.jpg/800px-Elsie_Leslie_%281899%29_by_Zaida_Ben-Yusuf.jpg,https://commons.wikimedia.org/wiki/File:Elsie_Leslie_(1899)_by_Zaida_Ben-Yusuf.jpg,ok
images/Johann_Strauss_II_by_Fritz_Luckhardt.jpg,Johann Strauss II,Johann Strauss II,1899,Johann Strauss II by Fritz Luckhardt,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Johann_Strauss_II_by_Fritz_Luckhardt.jpg/800px-Johann_Strauss_II_by_Fritz_Luckhardt.jpg,https://commons.wikimedia.org/wiki/File:Johann_Strauss_II_by_Fritz_Luckhardt.jpg,ok
images/Pedro_II_of_Brazil_by_Nadar.jpg,Pedro II,Pedro II of Brazil,,Pedro II of Brazil by Nadar,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Pedro_II_of_Brazil_by_Nadar.jpg/800px-Pedro_II_of_Brazil_by_Nadar.jpg,https://commons.wikimedia.org/wiki/File:Pedro_II_of_Brazil_by_Nadar.jpg,ok
images/Paul_Nadar___Autoportrait_au_bureau_de_l_atelier__rue_d_Anjou.jpg,Paul Nadar,Paul Nadar,,"Paul Nadar, ""Autoportrait au bureau de l'atelier, rue d'Anjou""",https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Paul_Nadar%2C_%22Autoportrait_au_bureau_de_l%27atelier%2C_rue_d%27Anjou%22.jpg/800px-Paul_Nadar%2C_%22Autoportrait_au_bureau_de_l%27atelier%2C_rue_d%27Anjou%22.jpg,"https://commons.wikimedia.org/wiki/File:Paul_Nadar,_%22Autoportrait_au_bureau_de_l%27atelier,_rue_d%27Anjou%22.jpg",ok
images/Self_portrait_of_Edward_Sheriff_Curtis.jpg,Edward Sheriff Curtis,Edward S. Curtis,,Self portrait of Edward Sheriff Curtis,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Self_portrait_of_Edward_Sheriff_Curtis.jpg/800px-Self_portrait_of_Edward_Sheriff_Curtis.jpg,https://commons.wikimedia.org/wiki/File:Self_portrait_of_Edward_Sheriff_Curtis.jpg,ok
images/Claude_Debussy_by_Atelier_Nadar.jpg,Claude Debussy,Claude Debussy,,Claude Debussy by Atelier Nadar,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Claude_Debussy_by_Atelier_Nadar.jpg/800px-Claude_Debussy_by_Atelier_Nadar.jpg,https://commons.wikimedia.org/wiki/File:Claude_Debussy_by_Atelier_Nadar.jpg,ok
images/Alberto_Santos-Dumont_by_Nadar.jpg,Alberto Santos-Dumont,Alberto Santos-Dumont,,Alberto Santos-Dumont by Nadar,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Alberto_Santos-Dumont_by_Nadar.jpg/800px-Alberto_Santos-Dumont_by_Nadar.jpg,https://commons.wikimedia.org/wiki/File:Alberto_Santos-Dumont_by_Nadar.jpg,ok
images/Ottmar_Mergenthaler__at_approximately_45_years_old.jpg,Ottmar Mergenthaler,Ottmar Mergenthaler,,"Ottmar Mergenthaler, at approximately 45 years old",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Ottmar_Mergenthaler%2C_at_approximately_45_years_old.jpg/800px-Ottmar_Mergenthaler%2C_at_approximately_45_years_old.jpg,"https://commons.wikimedia.org/wiki/File:Ottmar_Mergenthaler,_at_approximately_45_years_old.jpg",ok
